時間[s] 推定速度[km/h] 実速度[km/h]
12.0631 0.144979504435325 0
12.07478 0.144979504435325 0
12.08678 0.159482565709619 0
12.09851 0.159482565709619 0
12.1111 0.159482565709619 0
12.13165 0.159482565709619 0
12.14417 0.175474546278326 0
12.15812 0.175474546278326 0
12.17014 0.175474546278326 0
12.18229 0.175474546278326 0
12.19469 0.185769909182719 0
12.20669 0.185769909182719 0
12.21855 0.185769909182719 0
12.22987 0.185769909182719 0
12.24213 0.198407442860706 0
12.25413 0.198407442860706 0
12.26584 0.198407442860706 0
12.27781 0.198407442860706 0
12.2898 0.206604566853202 0
12.30232 0.206604566853202 0
12.31454 0.206604566853202 0
12.32636 0.206604566853202 0
12.3385 0.21757227775972 0
12.35042 0.21757227775972 0
12.36224 0.21757227775972 0
12.37365 0.21757227775972 0
12.38659 0.221339384509897 0
12.39864 0.221339384509897 0
12.41041 0.221339384509897 0
12.42239 0.221339384509897 0
12.43454 0.223536822404061 0
12.44635 0.223536822404061 0
12.45832 0.223536822404061 0
12.47012 0.223536822404061 0
12.48272 0.221767230086586 0
12.49416 0.221767230086586 0
12.50602 0.221767230086586 0
12.51807 0.221767230086586 0
12.52954 0.216521627242519 0
12.54193 0.216521627242519 0
12.55361 0.216521627242519 0
12.5654 0.216521627242519 0
12.57718 0.200273563265394 0
12.58908 0.200273563265394 0
12.6012 0.200273563265394 0
12.61311 0.200273563265394 0
12.63441 0.178750335313091 0
12.64596 0.178750335313091 0
12.65811 0.178750335313091 0
12.67045 0.1459975543168 0
12.68211 0.1459975543168 0
12.69359 0.1459975543168 0
12.70613 0.1459975543168 0
12.71809 0.113214156580085 0
12.73006 0.113214156580085 0
12.74137 0.113214156580085 0
12.75446 0.113214156580085 0
12.76624 0.0826705932968962 0
12.77764 0.0826705932968962 0
12.78904 0.0826705932968962 0
12.80137 0.0826705932968962 0
12.81317 0.0575772969048458 0
12.82521 0.0575772969048458 0
12.83694 0.0575772969048458 0
12.84931 0.0575772969048458 0
12.86117 0.0346730015111368 0
12.87325 0.0346730015111368 0
12.88512 0.0346730015111368 0
12.89668 0.0346730015111368 0
12.90883 0.0197310871230446 0
12.92083 0.0197310871230446 0
12.93231 0.0197310871230446 0
12.94433 0.0197310871230446 0
12.95613 0.00778477620975553 0
12.96805 0.00778477620975553 0
12.9795 0.00778477620975553 0
12.99411 0.00778477620975553 0
13.00628 0.0034490907062372 0
13.01802 0.0034490907062372 0
13.0297 0.0034490907062372 0
13.04148 0.0034490907062372 0
13.05344 0 0
13.06533 0 0
13.07761 0 0
13.08955 0 0
13.10138 0 0
13.11317 0 0
13.12502 0 0
13.14455 0 0
13.15731 0 0
13.16905 0 0
13.18041 0 0
13.19234 0 0
13.20383 0 0
13.21599 0 0
13.22812 0 0
13.23969 0 0
13.25191 0 0
13.2639 0 0
13.2761 0 0
13.28795 0 0
13.3006 0 0
13.3121 0 0
13.32365 0 0
13.33575 0 0
13.34744 0 0
13.35933 0 0
13.37134 0 0
13.38338 0 0
13.39581 0 0
13.40752 0 0
13.41927 0 0
13.43075 0 0
13.44259 0 0
13.45792 0 0
13.46988 0 0
13.48231 0 0
13.49451 0 0
13.50863 0 0
13.52079 0 0
13.53288 0 0
13.54533 0 0
13.55707 0 0
13.56891 0 0
13.58085 0 0
13.59279 0 0
13.60451 0 0
13.61663 0 0
13.62807 0 0
13.64979 0 428.4
13.66158 0 428.4
13.67346 0 428.4
13.68617 0 428.4
13.69843 0 428.4
13.71003 0 428.4
13.72192 0 428.4
13.73384 0 442.8
13.74549 0 442.8
13.75726 0 442.8
13.76868 0 442.8
13.78032 0 442.8
13.7923 0 442.8
13.8046 0 442.8
13.81622 0 442.8
13.82848 0 442.8
13.84536 0 442.8
13.85717 0 442.8
13.86974 0 442.8
13.88143 0.00465627215754518 460.8
13.89323 0.00465627215754518 460.8
13.90533 0.00465627215754518 460.8
13.91796 0.00465627215754518 460.8
13.92973 0.00721801817005095 460.8
13.94125 0.00721801817005095 460.8
13.95298 0.00721801817005095 460.8
13.96546 0.00721801817005095 460.8
13.97771 0.00958606420704398 460.8
13.98962 0.00958606420704398 460.8
14.00153 0.00958606420704398 460.8
14.01372 0.00958606420704398 460.8
14.0257 0.0111911880758955 460.8
14.03743 0.0111911880758955 460.8
14.04936 0.0111911880758955 460.8
