時間[s] 推定速度[km/h]
16.08467 50.4759460222168
16.09624 50.4759460222168
16.10836 48.0725562291976
16.12042 48.0725562291976
16.13696 48.0725562291976
16.14874 48.0725562291976
16.16058 48.1854819006141
16.17357 48.1854819006141
16.1852 48.1854819006141
16.19965 48.1854819006141
16.21126 47.5533313722815
16.224 47.5533313722815
16.23555 47.5533313722815
16.24651 47.5533313722815
16.25752 47.5533313722815
16.2697 44.7201195625019
16.28323 44.7201195625019
16.29471 44.7201195625019
16.30629 44.7201195625019
16.31841 44.7201195625019
16.32923 39.9791999187148
16.3408 39.9791999187148
16.35183 39.9791999187148
16.36318 39.9791999187148
16.37427 39.9791999187148
16.38569 40.9845136122442
16.40011 40.9845136122442
16.41135 40.9845136122442
16.4229 40.9845136122442
16.43453 40.9609570376622
16.44623 40.9609570376622
16.45781 40.9609570376622
16.46876 40.9609570376622
16.47965 40.9609570376622
16.49052 33.6897149408521
16.50314 33.6897149408521
16.51429 33.6897149408521
16.52671 33.6897149408521
16.53826 33.6897149408521
16.54969 34.1042723596392
16.56188 34.1042723596392
16.57352 34.1042723596392
16.58589 34.1042723596392
16.60017 34.0750869060594
16.61238 34.0750869060594
16.62435 34.0750869060594
16.63692 34.0750869060594
16.64868 34.0750869060594
16.6596 33.9954118343523
16.67165 33.9954118343523
16.68371 33.9954118343523
16.69526 33.9954118343523
16.70663 33.9954118343523
16.71811 33.8741268985231
16.73092 33.8741268985231
16.74238 33.8741268985231
16.75425 33.8741268985231
16.76563 33.8741268985231
16.77716 33.7625294411103
16.78918 33.7625294411103
16.80393 33.7625294411103
16.81621 33.7625294411103
16.8279 33.6227664668864
16.84028 33.6227664668864
16.85233 33.6227664668864
16.86407 33.6227664668864
16.87593 33.6227664668864
16.88728 33.4694065139766
16.90023 33.4694065139766
16.91191 33.4694065139766
16.92352 33.4694065139766
16.93498 33.3660517346569
16.947 33.3660517346569
16.95885 33.3660517346569
16.97059 33.3660517346569
16.98218 33.3660517346569
16.99361 33.2612726398878
17.0087 33.2612726398878
17.02097 33.2612726398878
17.03285 33.2612726398878
17.04428 33.2612726398878
17.05621 33.1314868966975
17.06856 33.1314868966975
17.07994 33.1314868966975
17.09161 33.1314868966975
17.10373 33.0375833545989
17.11626 33.0375833545989
17.12805 33.0375833545989
17.14068 33.0375833545989
17.15285 33.0375833545989
17.16422 32.9218826871098
17.17716 32.9218826871098
17.18922 32.9218826871098
17.20148 32.9218826871098
17.21627 32.8193009620968
17.22867 32.8193009620968
17.24079 32.8193009620968
17.25299 32.8193009620968
17.26438 32.8193009620968
17.27633 32.7483784888894
17.29294 32.7483784888894
17.30445 32.7483784888894
17.31604 32.7483784888894
17.32777 32.6600358664852
17.34023 32.6600358664852
17.35214 32.6600358664852
17.36404 32.6600358664852
17.37825 32.5583391185346
17.39256 32.5583391185346
17.4048 32.5583391185346
17.42072 32.5583391185346
17.43333 32.5583391185346
17.44512 32.4731814050555
17.45801 32.4731814050555
17.46991 32.4731814050555
17.48145 32.4731814050555
17.49322 32.3508576405726
17.50578 32.3508576405726
17.51817 32.3508576405726
17.52966 32.3508576405726
17.54154 32.3508576405726
17.55363 32.2729984751776
17.56634 32.2729984751776
17.57813 32.2729984751776
17.59029 32.2729984751776
17.60192 32.2317190297484
17.61476 32.2317190297484
17.62856 32.2317190297484
17.63957 32.2317190297484
17.65161 32.2317190297484
17.66294 32.1337138919548
17.67544 32.1337138919548
17.68678 32.1337138919548
17.69852 32.1337138919548
17.71028 32.1337138919548
17.72322 32.0465946260001
17.73567 32.0465946260001
17.74699 32.0465946260001
17.75866 32.0465946260001
17.77019 31.9847140266391
17.78214 31.9847140266391
17.7949 31.9847140266391
17.80612 31.9847140266391
17.81759 31.9847140266391
